INTERMEDIARY_CEDS_GAINS;GAINS2025;REMIND_INTERNAL_AGG;REMIND_INTERNAL;REMIND_exoGAINS;CMIP7_HARMONIZATION
Process Cement;CEMENT;indprocess;indprocess;indprocess;Industrial Sector
Process Chemicals, Solvents and Other;CHEM;solvents;solvents;solvents;Industrial Sector
Process Chemicals, Solvents and Other;CUSM;indprocess;indprocess;indprocess;Industrial Sector
Industrial Combustion;End_Use_Industry_Bio_Trad;bioind;pebiolc.sesobio.biotr.indst;indst;Industrial Sector
Industrial Combustion;End_Use_Industry_Coal;coalind;pecoal.sesofos.coaltr.indst;indst;Industrial Sector
Industrial Combustion;End_Use_Industry_HLF;fehosind;peoil.seliqfos.refliq.indst;indst;Industrial Sector
Industrial Combustion;End_Use_Industry_LLF;fehosind;peoil.seliqfos.refliq.indst;indst;Industrial Sector
Industrial Combustion;End_Use_Industry_NatGas;gasind;pegas.segafos.gastr.indst;indst;Industrial Sector
Residential;End_Use_Residential_Bio_Mod;biotrmod;pebiolc.sesobio.biotrmod.res;res;Residential Commercial Other
Residential;End_Use_Residential_Bio_Trad;biores;pebiolc.sesobio.biotr.res;res;Residential Commercial Other
Residential;End_Use_Residential_Coal;coalres;pecoal.sesofos.coaltr.res;res;Residential Commercial Other
Residential;End_Use_Residential_HLF;fehosres;peoil.seliqfos.refliq.res;res;Residential Commercial Other
Residential;End_Use_Residential_LLF;fehosres;peoil.seliqfos.refliq.res;res;Residential Commercial Other
Residential;End_Use_Residential_NatGas;gasres;pegas.segafos.gastr.res;res;Residential Commercial Other
Commercial Services;End_Use_Services_Bio_Trad;bioind;pebiolc.sesobio.biotr.indst;res;Residential Commercial Other
Commercial Services;End_Use_Services_Coal;coalind;pecoal.sesofos.coaltr.indst;res;Residential Commercial Other
Transport Domestic Ground;End_Use_Transport_Coal;coalind;pecoal.sesofos.coaltr.indst;trans;Transportation Sector
Transport Domestic Ground;End_Use_Transport_HLF;fedie;peoil.seliqfos.refliq.trans;trans;Transportation Sector
Transport Domestic Ground;End_Use_Transport_LLF;fepet;peoil.seliqfos.refliq.trans;trans;Transportation Sector
Transport Domestic Ground;End_Use_Transport_NatGas;gasind;pegas.segafos.gastr.indst;trans;Transportation Sector
Fossil Extraction and Distribution;Losses_Coal;extraction;extraction;extraction;Energy Sector
Fossil Extraction and Distribution;Losses_Vent_Flare;extraction;extraction;extraction;Energy Sector
Process Nitric and Adipic Acid;NACID;indprocess;indprocess;indprocess;Industrial Sector
Process Paper;PAPER;indprocess;indprocess;indprocess;Industrial Sector
Electricity;Power_Gen_Bio_Trad;bio_el;pebiolc.seel.biochp.power;power;Energy Sector
Electricity;Power_Gen_Bio_Trad;bio_el;pebiolc.sehe.biohp.power;power;Energy Sector
Electricity;Power_Gen_Bio_Trad;bio_el_adv;pebiolc.seel.bioigcc.power;power;Energy Sector
Electricity;Power_Gen_Bio_Trad;bio_el_adv;pebiolc.seel.bioigccc.power;power;Energy Sector
Electricity;Power_Gen_Bio_Trad;bio_el_adv;pebiolc.segabio.biogas.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el;pecoal.seel.pc.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el;pecoal.seel.coalchp.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el;pecoal.sehe.coalhp.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el_adv;pecoal.seel.igcc.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el_adv;pecoal.seel.igccc.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el_adv;pecoal.seel.pcc.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el_adv;pecoal.seel.pco.power;power;Energy Sector
Electricity;Power_Gen_Coal;coal_el_adv;pecoal.segafos.coalgas.power;power;Energy Sector
Electricity;Power_Gen_HLF;dot;peoil.seel.dot.power;power;Energy Sector
Electricity;Power_Gen_LLF;dot;peoil.seel.dot.power;power;Energy Sector
Electricity;Power_Gen_NatGas;gas_el;pegas.seel.ngcc.power;power;Energy Sector
Electricity;Power_Gen_NatGas;gas_el;pegas.seel.ngt.power;power;Energy Sector
Electricity;Power_Gen_NatGas;gas_el;pegas.seel.gaschp.power;power;Energy Sector
Electricity;Power_Gen_NatGas;gas_el;pegas.sehe.gashp.power;power;Energy Sector
Process Steel;STEEL;indprocess;indprocess;indprocess;Industrial Sector
Fuel Transformation;Transformations_Coal;extraction;extraction;power;Energy Sector
Fuel Transformation;Transformations_HLF_Refinery;extraction;extraction;power;Energy Sector
Fuel Transformation;Transformations_NatGas;extraction;extraction;power;Energy Sector
Waste Solids and Other;Waste_Solid_Municipal;;;Waste;Waste
Wastewater;Waste_Water_Municipal;;;Waste;Waste
